GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
13000,Georgia,1,Real GDP (millions of chained 2012 dollars),512198.9,513340.9,517368.6,523467,522994.9,526149.8,532652.1,534198.9,536155.3,537596.8,540603.1,543789.9,537270.5
13000,Georgia,2,Chain-type quantity indexes for real GDP,115.326,115.583,116.49,117.863,117.757,118.467,119.931,120.279,120.72,121.044,121.721,122.439,120.971
13000,Georgia,3,Current-dollar GDP (millions of current dollars),558591.1,561187.6,568169.9,577945.7,579993,588339.7,597746.2,602534.6,607081,613105.2,619817.7,625329.2,621477.8
15000,Hawaii,1,Real GDP (millions of chained 2012 dollars),80432,80274,80850,81307.1,81835.6,82689.9,82854,83228.1,83268.6,83372.7,83460.3,83936,82187.7
15000,Hawaii,2,Chain-type quantity indexes for real GDP,109.308,109.094,109.876,110.498,111.216,112.377,112.6,113.108,113.163,113.305,113.424,114.07,111.694
15000,Hawaii,3,Current-dollar GDP (millions of current dollars),88386.5,88682.4,89836,90810.5,91946.7,93588.6,94287.8,95368.5,96094.5,96831.5,97664.4,98536.3,97089
16000,Idaho,1,Real GDP (millions of chained 2012 dollars),66542.8,67671,68190.2,68868.6,69613.3,70211.4,70707.3,71469.5,71846.4,72265.7,72705.6,73159.9,72393.2
16000,Idaho,2,Chain-type quantity indexes for real GDP,115.197,117.15,118.049,119.223,120.513,121.548,122.406,123.726,124.378,125.104,125.866,126.652,125.325
16000,Idaho,3,Current-dollar GDP (millions of current dollars),70945.5,72397.6,73240.8,74309.1,75434.9,76681.3,77384.5,78707.3,79440.1,80446.2,81492.7,82264.8,81806.7
17000,Illinois,1,Real GDP (millions of chained 2012 dollars),747999.6,750532.1,756711.6,759308.5,765063.9,766486.1,773851.8,773800.6,778055.2,780258.8,783066.9,786695.2,775846.4
17000,Illinois,2,Chain-type quantity indexes for real GDP,103.788,104.139,104.996,105.357,106.155,106.353,107.375,107.368,107.958,108.264,108.653,109.157,107.651
17000,Illinois,3,Current-dollar GDP (millions of current dollars),814655.5,820307.2,832040.3,840268.4,851327,860587.7,872316.6,877010.4,884429.8,893579.7,901571.9,908912.7,901480.1
18000,Indiana,1,Real GDP (millions of chained 2012 dollars),321288.6,321536.3,322278.7,325878.8,328059.9,328477.5,330262.8,330395.1,330246.9,331073.8,332952,333889.5,329131.2
18000,Indiana,2,Chain-type quantity indexes for real GDP,107.977,108.06,108.31,109.52,110.253,110.393,110.993,111.038,110.988,111.266,111.897,112.212,110.613
18000,Indiana,3,Current-dollar GDP (millions of current dollars),346879.7,348306.8,351555.7,357680.1,361793.8,365477.9,368747.9,371182.7,372060.6,375490.6,379132.8,381733.4,378131
19000,Iowa,1,Real GDP (millions of chained 2012 dollars),169019.4,168668.6,167523.3,168526.9,170756.4,172525.2,172949.6,172056.7,172926.5,173400,173942.7,174484.5,172955.5
19000,Iowa,2,Chain-type quantity indexes for real GDP,107.484,107.261,106.533,107.171,108.589,109.713,109.983,109.415,109.969,110.27,110.615,110.959,109.987
19000,Iowa,3,Current-dollar GDP (millions of current dollars),181445.3,181524.8,181097.9,183317.3,186652.9,190178.9,190936.5,191038.1,192086.1,194038.5,195857.9,197172.3,196618.8
20000,Kansas,1,Real GDP (millions of chained 2012 dollars),151765.8,151251.2,151247.5,151598.3,153418.5,154589.7,155217.5,155105.1,154682.3,155515.6,156376.9,157202.4,155974.7
20000,Kansas,2,Chain-type quantity indexes for real GDP,108.035,107.669,107.666,107.916,109.212,110.046,110.493,110.413,110.112,110.705,111.318,111.906,111.032
