GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
56000,Wyoming,12,      Manufacturing,(D),(D),(D),(D),2165.5,2234.1,2298.8,2341.3,2296.2,2317.1,2307,2334.2,2334.5
56000,Wyoming,13,          Durable goods manufacturing,(D),(D),(D),(D),512.9,521.8,541.1,568.4,593.5,593.1,589.7,592,591.5
56000,Wyoming,25,          Nondurable goods manufacturing,(D),(D),(D),(D),1652.6,1712.2,1757.7,1772.9,1702.7,1724,1717.3,1742.2,1743
56000,Wyoming,34,      Wholesale trade,1408.8,1477,1520,1489,1494,1489,1501.9,1577.8,1593.8,1600.9,1626.8,1635.3,1607.1
56000,Wyoming,35,      Retail trade,2089,2097.6,2110,2120.1,2109.6,2135.5,2130.2,2131,2206,2228.4,2277.4,2269,2277.1
56000,Wyoming,36,      Transportation and warehousing,3151.3,3228.8,3196.1,3174,3454.3,3367.6,3403.1,3470,3441.2,3457,3482.2,3462.8,3345.9
56000,Wyoming,45,      Information,656,622,628.5,618.6,616.1,642,639.8,638.3,627,639.8,646.5,648.4,637.5
56000,Wyoming,51,      Finance and insurance,1030.2,1003.2,976.6,1013.6,1053.2,1089.9,1106.9,1064.7,1098.8,1116.5,1118.2,1146.8,1140.9
56000,Wyoming,56,      Real estate and rental and leasing,4039.4,4032.4,4037.3,4080.1,4167.5,4252.5,4322.4,4384.4,4423.7,4471.3,4517.5,4542.2,4547.8
56000,Wyoming,60,"      Professional, scientific, and technical services",1115.9,1119.9,1129.5,1151.8,1189.2,1225.5,1252.8,1266,1296.8,1310.8,1322.9,1321.8,1327.5
56000,Wyoming,64,      Management of companies and enterprises,123.6,124,119.3,119,115.1,124.6,125.2,141.5,117.8,118.1,118.9,118.9,120.7
56000,Wyoming,65,      Administrative and support and waste management and remediation services,520.4,541.6,557.5,564,582.1,594.8,598.1,613.8,603.1,602.6,605.5,617.4,608.8
56000,Wyoming,69,      Educational services,114.9,116,114.9,111.7,117,116.5,114.6,122,121.2,119.7,120.4,119.4,120.6
56000,Wyoming,70,      Health care and social assistance,1662.6,1646.4,1680.1,1673.4,1739.5,1736.8,1752.2,1763.3,1776.2,1781.3,1797.8,1814.1,1799.8
56000,Wyoming,76,"      Arts, entertainment, and recreation",265.8,272.3,281.6,274.3,276.3,289.3,293.5,290.5,282.7,278.2,284.1,279.3,266.3
56000,Wyoming,79,      Accommodation and food services,1296.3,1355.6,1380.5,1388.7,1428,1448.2,1468.3,1484.7,1534.5,1546.7,1585.1,1591.7,1520.9
56000,Wyoming,82,      Other services (except government and government enterprises),575.9,578,592.9,600.1,614.4,619.4,624.6,643.6,643.9,652.7,665.7,668.6,655.2
56000,Wyoming,83,  Government and government enterprises,6181.8,6207.6,6203.9,6233.8,6194.5,6276.9,6366.3,6334.3,6413.3,6469,6548.7,6566.7,6599.3
91000,New England,1,All industry total,1024646.9,1036724.2,1050150.9,1059490.8,1070862.9,1084947.1,1096173.9,1101530.8,1118702.8,1130084.1,1142586.1,1151182,1143978.2
91000,New England,2,  Private industries,915349.6,926800.5,939994.8,948072.7,958896.7,971690.8,981394.2,986855.6,1003124.9,1013830.9,1025062.2,1032730.8,1024917.2
91000,New England,3,"      Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
91000,New England,6,"      Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
91000,New England,10,      Utilities,14098.3,15412.8,15155.4,15730.2,16427.7,15671,15445.5,16205.7,16262.7,16306.8,16495.2,16232.5,15632.3
91000,New England,11,      Construction,(D),(D),(D),(D),37064.9,37845.4,37785.4,38138.8,39811.4,40018.7,40257.1,40768.3,41317.4
91000,New England,12,      Manufacturing,100918.3,102561.4,103660.2,105487.9,105782.8,106145.1,106993.3,106421.2,107088.5,107588.2,108187.1,108437,107936.9
91000,New England,13,          Durable goods manufacturing,69208.4,70092.5,70288,71574.7,71586.4,71693.8,72996.9,72644.5,75282.2,75573.9,75790,75856.8,75326.2
91000,New England,25,          Nondurable goods manufacturing,31709.9,32468.9,33372.1,33913.2,34196.4,34451.3,33996.5,33776.6,31806.3,32014.3,32397.1,32580.1,32610.6
91000,New England,34,      Wholesale trade,57146.8,57721.9,58014,59346.6,58907.3,58771,60070,60528.1,61630.5,61990.4,62954.4,63335.3,62672.6
91000,New England,35,      Retail trade,49834.6,50523,51021.9,51290.8,51752.1,52682.6,52995.9,53055.9,54389,54793.7,55780.6,55905.8,55655.7
91000,New England,36,      Transportation and warehousing,18055.8,18333.2,18564.7,19041.5,19521.7,20091.5,20462.3,20839.1,20968.6,21019.1,21050.5,21297.1,20458.7
91000,New England,45,      Information,47882.3,48950.8,49908.1,50212.8,50237.3,51716.6,52879.4,53724.9,53934.6,55044.3,55788.4,56195.8,56196.4
91000,New England,51,      Finance and insurance,105996.2,106542.3,108654.7,105356,108618.8,109915.1,109719.2,107981.3,111064.7,113139,112961.3,114085.1,114240.7
91000,New England,56,      Real estate and rental and leasing,145974.2,147574.1,149068.7,150596.7,152897,155137.6,156461.2,157789.6,159586,161610,163322.2,164381.3,164954.9
91000,New England,60,"      Professional, scientific, and technical services",98404.1,100328.9,101926.3,104396,106327,108311.2,109587.2,110502.5,112744.3,114590.1,116336.2,117282.8,117147.6
91000,New England,64,      Management of companies and enterprises,22940.7,23039.9,23795.3,24582.5,24601.5,24935.3,25994.7,26072.3,25774.7,26190.2,26599.7,26870.1,27157
91000,New England,65,      Administrative and support and waste management and remediation services,28518.3,29300.3,30080.1,30243.2,30448.9,30926.6,31593.3,31996.8,32977.3,33427.9,34048.2,34294.5,33970.1
91000,New England,69,      Educational services,28303.4,28342.8,28657,28929.6,29040,29528.6,29760.2,30121.6,30318.2,30244.3,30966.1,31418.7,31266.5
91000,New England,70,      Health care and social assistance,96020,96199.5,97729.1,97907.7,98546.5,99495.9,100179.8,101218.4,103582.6,104428.9,105878.5,107076.4,105722.4
91000,New England,76,"      Arts, entertainment, and recreation",11712.6,11602,11807.8,11728.7,12008.4,12601.9,12685.6,12815.3,12695,12770.5,12856.6,13009.7,11687.8
91000,New England,79,      Accommodation and food services,31270.4,31637.2,31991.3,32297.9,32585.2,33281.5,33610.5,33951,34649.9,34935.6,35513.6,35740.9,33161.5
